"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 26 15:15:27 ICT 2024","Fri Apr 26 15:15:27 ICT 2024","577","NopCommerce","Run on Chrome","testcase.TestRegisterPage","testcase.TestRegisterPage","Testcase_05_Register_with_password_less_than_6_characters","Testcase_05_Register_with_password_less_than_6_characters",""
"passed","Fri Apr 26 15:15:25 ICT 2024","Fri Apr 26 15:15:27 ICT 2024","1378","NopCommerce","Run on Chrome","testcase.TestRegisterPage","testcase.TestRegisterPage","Testcase_04_Register_duplicate_email","Testcase_04_Register_duplicate_email",""
"passed","Fri Apr 26 15:15:23 ICT 2024","Fri Apr 26 15:15:23 ICT 2024","920","NopCommerce","Run on Chrome","testcase.TestRegisterPage","testcase.TestRegisterPage","Testcase_02_Register_with_invalid_email","Testcase_02_Register_with_invalid_email",""
"passed","Fri Apr 26 15:15:46 ICT 2024","Fri Apr 26 15:15:50 ICT 2024","3250","NopCommerce","Run on Chrome","testcase.TestMyAccountPage","testcase.TestMyAccountPage","Testcase_04_My_Product_Review","Testcase_04_My_Product_Review",""
"passed","Fri Apr 26 15:15:30 ICT 2024","Fri Apr 26 15:15:30 ICT 2024","139","NopCommerce","Run on Chrome","testcase.TestLoginPage","testcase.TestLoginPage","Testcase_01_Login_with_empty_data","Testcase_01_Login_with_empty_data",""
"passed","Fri Apr 26 15:15:33 ICT 2024","Fri Apr 26 15:15:34 ICT 2024","1023","NopCommerce","Run on Chrome","testcase.TestLoginPage","testcase.TestLoginPage","Testcase_05_Login_with_email_registered_and_password_incorrect","Testcase_05_Login_with_email_registered_and_password_incorrect",""
"passed","Fri Apr 26 15:15:32 ICT 2024","Fri Apr 26 15:15:33 ICT 2024","866","NopCommerce","Run on Chrome","testcase.TestLoginPage","testcase.TestLoginPage","Testcase_04_Login_with_email_registered_and_not_input_password","Testcase_04_Login_with_email_registered_and_not_input_password",""
"passed","Fri Apr 26 15:15:38 ICT 2024","Fri Apr 26 15:15:40 ICT 2024","2043","NopCommerce","Run on Chrome","testcase.TestMyAccountPage","testcase.TestMyAccountPage","Testcase_01_Update_information_user","Testcase_01_Update_information_user","Update information and check update successfully"
"passed","Fri Apr 26 15:15:43 ICT 2024","Fri Apr 26 15:15:46 ICT 2024","3409","NopCommerce","Run on Chrome","testcase.TestMyAccountPage","testcase.TestMyAccountPage","Testcase_03_Change_password","Testcase_03_Change_password",""
"passed","Fri Apr 26 15:15:34 ICT 2024","Fri Apr 26 15:15:35 ICT 2024","1193","NopCommerce","Run on Chrome","testcase.TestLoginPage","testcase.TestLoginPage","Testcase_06_Login_with_correct_email_and_correct_password","Testcase_06_Login_with_correct_email_and_correct_password",""
"passed","Fri Apr 26 15:15:30 ICT 2024","Fri Apr 26 15:15:31 ICT 2024","554","NopCommerce","Run on Chrome","testcase.TestLoginPage","testcase.TestLoginPage","Testcase_02_Login_with_invalid_email","Testcase_02_Login_with_invalid_email",""
"passed","Fri Apr 26 15:15:27 ICT 2024","Fri Apr 26 15:15:28 ICT 2024","633","NopCommerce","Run on Chrome","testcase.TestRegisterPage","testcase.TestRegisterPage","Testcase_06_Register_with_confirm_password_not_match_password","Testcase_06_Register_with_confirm_password_not_match_password",""
"passed","Fri Apr 26 15:15:40 ICT 2024","Fri Apr 26 15:15:43 ICT 2024","3241","NopCommerce","Run on Chrome","testcase.TestMyAccountPage","testcase.TestMyAccountPage","Testcase_02_Add_address","Testcase_02_Add_address","Add Address and check update successfully"
"passed","Fri Apr 26 15:15:23 ICT 2024","Fri Apr 26 15:15:25 ICT 2024","2006","NopCommerce","Run on Chrome","testcase.TestRegisterPage","testcase.TestRegisterPage","Testcase_03_Register_successfully","Testcase_03_Register_successfully",""
"passed","Fri Apr 26 15:15:21 ICT 2024","Fri Apr 26 15:15:23 ICT 2024","1712","NopCommerce","Run on Chrome","testcase.TestRegisterPage","testcase.TestRegisterPage","Testcase_01_Register_with_empty_data","Testcase_01_Register_with_empty_data",""
"passed","Fri Apr 26 15:15:31 ICT 2024","Fri Apr 26 15:15:32 ICT 2024","795","NopCommerce","Run on Chrome","testcase.TestLoginPage","testcase.TestLoginPage","Testcase_03_Login_with_email_not_register","Testcase_03_Login_with_email_not_register",""
